City,Continent,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
Te Awamutu,Oceania,October,2024,50,Low,180,25,8.1,20,97
Cambridge,Oceania,October,2024,55,Low,185,20,7.8,25,98
Matamata,Oceania,October,2024,60,Medium,190,35,7.6,20,95
Te Aroha,Oceania,October,2024,55,Low,195,30,7.7,25,96
Paeroa,Oceania,October,2024,50,Low,200,25,7.8,20,97
Waihi,Oceania,November,2024,55,Low,205,20,7.5,25,98
Whangamata,Oceania,November,2024,60,Medium,210,35,7.3,20,95
Tairua,Oceania,November,2024,55,Low,215,30,7.4,25,96
Whitianga,Oceania,November,2024,50,Low,220,25,7.5,20,97
Coromandel,Oceania,November,2024,55,Low,225,20,7.2,25,98
Whangaparaoa,Oceania,November,2024,60,Medium,230,35,7.0,20,95
Orewa,Oceania,November,2024,55,Low,235,30,7.1,25,96
Warkworth,Oceania,November,2024,50,Low,240,25,6.8,20,97
Matakana,Oceania,December,2024,55,Low,245,20,6.5,25,98
Leigh,Oceania,December,2024,60,Medium,250,35,6.2,20,95
Wellsford,Oceania,December,2024,55,Low,255,30,6.0,25,96
Mangawhai,Oceania,December,2024,50,Low,260,25,5.8,20,97
Te Hana,Oceania,December,2024,55,Low,265,20,5.5,25,98
Waipu,Oceania,December,2024,60,Medium,270,35,5.2,20,95
Ruakaka,Oceania,December,2024,55,Low,275,30,5.0,25,96
Whangarei,Oceania,December,2024,50,Low,280,25,4.8,20,97
Dargaville,Oceania,December,2024,55,Low,285,20,4.5,25,98
Kaitaia,Oceania,January,2025,60,Medium,290,35,4.2,20,95
Kaikohe,Oceania,January,2025,55,Low,295,30,4.0,25,96
Kerikeri,Oceania,January,2025,50,Low,300,25,3.8,20,97
Paihia,Oceania,January,2025,55,Low,305,20,3.5,25,98
Russell,Oceania,January,2025,60,Medium,310,35,3.2,20,95
Opua,Oceania,January,2025,55,Low,315,30,3.0,25,96
Kohukohu,Oceania,January,2025,50,Low,320,25,2.8,20,97
Horeke,Oceania,January,2025,55,Low,325,20,2.5,25,98
Rawene,Oceania,January,2025,60,Medium,330,35,2.2,20,95
Omapere,Oceania,February,2025,55,Low,335,30,2.0,25,96
Opononi,Oceania,February,2025,50,Low,340,25,1.8,20,97
Waimamaku,Oceania,February,2025,55,Low,345,20,1.5,25,98
Waipoua,Oceania,February,2025,60,Medium,350,35,1.2,20,95
Aranga,Oceania,February,2025,55,Low,355,30,1.0,25,96
Matapouri,Oceania,February,2025,50,Low,360,25,0.8,20,97
Tutukaka,Oceania,February,2025,55,Low,365,20,0.5,25,98
Whananaki,Oceania,February,2025,60,Medium,370,35,0.2,20,95
Whangaruru,Oceania,February,2025,55,Low,375,30,0.0,25,96
Taipa,Oceania,February,2025,50,Low,380,25,-0.2,20,97
Mangonui,Oceania,February,2025,55,Low,385,20,-0.5,25,98
Coopers Beach,Oceania,March,2025,60,Medium,390,35,-0.8,20,95
Cable Bay,Oceania,March,2025,55,Low,395,30,-1.1,25,96
Rarawa,Oceania,March,2025,50,Low,400,25,-1.4,20,97
Pukenui,Oceania,March,2025,55,Low,405,20,-1.7,25,98
Awanui,Oceania,March,2025,60,Medium,410,35,-2.0,20,95
Herekino,Oceania,March,2025,55,Low,415,30,-2.3,25,96
Punguru,Oceania,March,2025,50,Low,420,25,-2.6,20,97
Okaihau,Oceania,March,2025,55,Low,425,20,-2.9,25,98
Ohaeawai,Oceania,March,2025,60,Medium,430,35,-3.2,20,95
Waimate North,Oceania,March,2025,55,Low,435,30,-3.5,25,96
Kawakawa,Oceania,March,2025,50,Low,440,25,-3.8,20,97
Moerewa,Oceania,April,2025,55,Low,445,20,-4.1,25,98
Matawaia,Oceania,April,2025,60,Medium,450,35,-4.4,20,95
Maromaku,Oceania,April,2025,55,Low,455,30,-4.7,25,96
Puhipuhi,Oceania,April,2025,50,Low,460,25,-5.0,20,97
Hikurangi,Oceania,April,2025,55,Low,465,20,-5.3,25,98
Glenbervie,Oceania,April,2025,60,Medium,470,35,-5.6,20,95
Ruatangata,Oceania,April,2025,55,Low,475,30,-5.9,25,96
Maungatapere,Oceania,April,2025,50,Low,480,25,-6.2,20,97
Taurikura,Oceania,April,2025,55,Low,485,20,-6.5,25,98
Parua Bay,Oceania,May,2025,60,Medium,490,35,-6.8,20,95
Pataua,Oceania,May,2025,55,Low,495,30,-7.1,25,96
Whangarei Heads,Oceania,May,2025,50,Low,500,25,-7.4,20,97
Marsden Point,Oceania,May,2025,55,Low,505,20,-7.7,25,98
One Tree Point,Oceania,May,2025,60,Medium,510,35,-8.0,20,95
Ruakaka,Oceania,May,2025,55,Low,515,30,-8.3,25,96
Waipu,Oceania,May,2025,50,Low,520,25,-8.6,20,97
Langs Beach,Oceania,May,2025,55,Low,525,20,-8.9,25,98
Mangawhai,Oceania,June,2025,60,Medium,530,35,-9.2,20,95
Wellsford,Oceania,June,2025,55,Low,535,30,-9.5,25,96
Warkworth,Oceania,June,2025,50,Low,540,25,-9.8,20,97
Orewa,Oceania,June,2025,55,Low,545,20,-10.1,25,98
Auckland,Oceania,June,2025,60,Medium,550,35,-10.4,20,95
Hamilton,Oceania,June,2025,55,Low,555,30,-10.7,25,96
Tauranga,Oceania,June,2025,50,Low,560,25,-11.0,20,97
Rotorua,Oceania,June,2025,55,Low,565,20,-11.3,25,98
Whakatane,Oceania,July,2025,60,Medium,570,35,-11.6,20,95
Gisborne,Oceania,July,2025,55,Low,575,30,-11.9,25,96
Napier,Oceania,July,2025,50,Low,580,25,-12.2,20,97
Hastings,Oceania,July,2025,55,Low,585,20,-12.5,25,98
Palmerston North,Oceania,July,2025,60,Medium,590,35,-12.8,20,95
Wellington,Oceania,July,2025,55,Low,595,30,-13.1,25,96
Nelson,Oceania,July,2025,50,Low,600,25,-13.4,20,97
Blenheim,Oceania,July,2025,55,Low,605,20,-13.7,25,98
Kaikoura,Oceania,July,2025,60,Medium,610,35,-14.0,20,95
Christchurch,Oceania,July,2025,55,Low,615,30,-14.3,25,96
Timaru,Oceania,July,2025,50,Low,620,25,-14.6,20,97
Dunedin,Oceania,July,2025,55,Low,625,20,-14.9,25,98
Queenstown,Oceania,July,2025,60,Medium,630,35,-15.2,20,95
Invercargill,Oceania,July,2025,55,Low,635,30,-15.5,25,96
Greymouth,Oceania,August,2025,50,Low,640,25,-15.8,20,97
Hokitika,Oceania,August,2025,55,Low,645,20,-16.1,25,98
Westport,Oceania,August,2025,60,Medium,650,35,-16.4,20,95
Motueka,Oceania,August,2025,55,Low,655,30,-16.7,25,96
Takaka,Oceania,August,2025,50,Low,660,25,-17.0,20,97
Murchison,Oceania,August,2025,55,Low,665,20,-17.3,25,98
Hanmer Springs,Oceania,August,2025,60,Medium,670,35,-17.6,20,95
Reefton,Oceania,August,2025,55,Low,675,30,-17.9,25,96
Kumara,Oceania,August,2025,50,Low,680,25,-18.2,20,97
Arthur's Pass,Oceania,August,2025,55,Low,685,20,-18.5,25,98
Twizel,Oceania,August,2025,60,Medium,690,35,-18.8,20,95
Tekapo,Oceania,August,2025,55,Low,695,30,-19.1,25,96
Cromwell,Oceania,August,2025,50,Low,700,25,-19.4,20,97
Wanaka,Oceania,September,2025,55,Low,705,20,-19.7,25,98
Arrowtown,Oceania,September,2025,60,Medium,710,35,-20.0,20,95
Glenorchy,Oceania,September,2025,55,Low,715,30,-20.3,25,96
Te Anau,Oceania,September,2025,50,Low,720,25,-20.6,20,97
Milford Sound,Oceania,September,2025,55,Low,725,20,-20.9,25,98
Haast,Oceania,September,2025,60,Medium,730,35,-21.2,20,95
Fox Glacier,Oceania,September,2025,55,Low,735,30,-21.5,25,96
Franz Josef,Oceania,September,2025,50,Low,740,25,-21.8,20,97
Whataroa,Oceania,October,2025,55,Low,745,20,-22.1,25,98
Harihari,Oceania,October,2025,60,Medium,750,35,-22.4,20,95
Ross,Oceania,October,2025,55,Low,755,30,-22.7,25,96
Hokitika,Oceania,October,2025,50,Low,760,25,-23.0,20,97
Greymouth,Oceania,October,2025,55,Low,765,20,-23.3,25,98
Punakaiki,Oceania,October,2025,60,Medium,770,35,-23.6,20,95
Westport,Oceania,October,2025,55,Low,775,30,-23.9,25,96
Karamea,Oceania,October,2025,50,Low,780,25,-24.2,20,97
Collingwood,Oceania,October,2025,55,Low,785,20,-24.5,25,98
Takaka,Oceania,November,2025,60,Medium,790,35,-24.8,20,95
Motueka,Oceania,November,2025,55,Low,795,30,-25.1,25,96
Nelson,Oceania,November,2025,50,Low,800,25,-25.4,20,97
Blenheim,Oceania,November,2025,55,Low,805,20,-25.7,25,98
Picton,Oceania,November,2025,60,Medium,810,35,-26.0,20,95
Havelock,Oceania,November,2025,55,Low,815,30,-26.3,25,96
Wairau Valley,Oceania,November,2025,50,Low,820,25,-26.6,20,97
St Arnaud,Oceania,November,2025,55,Low,825,20,-26.9,25,98
Murchison,Oceania,December,2025,60,Medium,830,35,-27.2,20,95
Lyell,Oceania,December,2025,55,Low,835,30,-27.5,25,96
Reefton,Oceania,December,2025,50,Low,840,25,-27.8,20,97
Greymouth,Oceania,December,2025,55,Low,845,20,-28.1,25,98
Hokitika,Oceania,December,2025,60,Medium,850,35,-28.4,20,95
Jackson Bay,Oceania,December,2025,55,Low,855,30,-28.7,25,96
Haast,Oceania,December,2025,50,Low,860,25,-29.0,20,97
Mount Aspiring National Park,Oceania,December,2025,55,Low,865,20,-29.3,25,98
Wanaka,Oceania,January,2026,60,Medium,870,35,-29.6,20,95
Queenstown,Oceania,January,2026,55,Low,875,30,-29.9,25,96
Glenorchy,Oceania,January,2026,50,Low,880,25,-30.2,20,97
Kingston,Oceania,January,2026,55,Low,885,20,-30.5,25,98
Te Anau,Oceania,January,2026,60,Medium,890,35,-30.8,20,95
Milford Sound,Oceania,January,2026,55,Low,895,30,-31.1,25,96
Manapouri,Oceania,January,2026,50,Low,900,25,-31.4,20,97
Tuatapere,Oceania,January,2026,55,Low,905,20,-31.7,25,98
Otautau,Oceania,February,2026,60,Medium,910,35,-32.0,20,95
Riverton,Oceania,February,2026,55,Low,915,30,-32.3,25,96
Invercargill,Oceania,February,2026,50,Low,920,25,-32.6,20,97
Bluff,Oceania,February,2026,55,Low,925,20,-32.9,25,98
Stewart Island,Oceania,February,2026,60,Medium,930,35,-33.2,20,95
Oban,Oceania,February,2026,55,Low,935,30,-33.5,25,96
Mossburn,Oceania,February,2026,50,Low,940,25,-33.8,20,97
Lumsden,Oceania,February,2026,55,Low,945,20,-34.1,25,98
Gore,Oceania,February,2026,60,Medium,950,35,-34.4,20,95
Clinton,Oceania,March,2026,55,Low,955,30,-34.7,25,96
Balclutha,Oceania,March,2026,50,Low,960,25,-35.0,20,97
Milton,Oceania,March,2026,55,Low,965,20,-35.3,25,98
Dunedin,Oceania,March,2026,60,Medium,970,35,-35.6,20,95
Moeraki,Oceania,March,2026,55,Low,975,30,-35.9,25,96
Oamaru,Oceania,March,2026,50,Low,980,25,-36.2,20,97
Timaru,Oceania,March,2026,55,Low,985,20,-36.5,25,98
Geraldine,Oceania,March,2026,60,Medium,990,35,-36.8,20,95
Ashburton,Oceania,March,2026,55,Low,995,30,-37.1,25,96
Christchurch,Oceania,March,2026,50,Low,1000,25,-37.4,20,97
Kaiapoi,Oceania,March,2026,55,Low,1005,20,-37.7,25,98
Rangiora,Oceania,March,2026,60,Medium,1010,35,-38.0,20,95
Amberley,Oceania,March,2026,55,Low,1015,30,-38.3,25,96
Hanmer Springs,Oceania,March,2026,50,Low,1020,25,-38.6,20,97
Waiau,Oceania,March,2026,55,Low,1025,20,-38.9,25,98
Murchison,Oceania,April,2026,60,Medium,1030,35,-39.2,20,95
Reefton,Oceania,April,2026,55,Low,1035,30,-39.5,25,96
Greymouth,Oceania,April,2026,50,Low,1040,25,-39.8,20,97
Hokitika,Oceania,April,2026,55,Low,1045,20,-40.1,25,98
Fox Glacier,Oceania,April,2026,60,Medium,1050,35,-40.4,20,95
Franz Josef,Oceania,April,2026,55,Low,1055,30,-40.7,25,96
Haast,Oceania,April,2026,50,Low,1060,25,-41.0,20,97
Jackson Bay,Oceania,April,2026,55,Low,1065,20,-41.3,25,98
Manapouri,Oceania,May,2026,60,Medium,1070,35,-41.6,20,95
Milford Sound,Oceania,May,2026,55,Low,1075,30,-41.9,25,96
Te Anau,Oceania,May,2026,50,Low,1080,25,-42.2,20,97
Glenorchy,Oceania,May,2026,55,Low,1085,20,-42.5,25,98
Queenstown,Oceania,May,2026,60,Medium,1090,35,-42.8,20,95
Cromwell,Oceania,May,2026,55,Low,1095,30,-43.1,25,96
Wanaka,Oceania,May,2026,50,Low,1100,25,-43.4,20,97
Mount Aspiring National Park,Oceania,May,2026,55,Low,1105,20,-43.7,25,98
Westport,Oceania,June,2026,60,Medium,1110,35,-44.0,20,95
Karamea,Oceania,June,2026,55,Low,1115,30,-44.3,25,96
Westport,Oceania,June,2026,50,Low,1120,25,-44.6,20,97
Greymouth,Oceania,June,2026,55,Low,1125,20,-44.9,25,98
Reefton,Oceania,June,2026,60,Medium,1130,35,-45.2,20,95
Murchison,Oceania,June,2026,55,Low,1135,30,-45.5,25,96
Nelson,Oceania,June,2026,50,Low,1140,25,-45.8,20,97
Motueka,Oceania,June,2026,55,Low,1145,20,-46.1,25,98
Takaka,Oceania,July,2026,60,Medium,1150,35,-46.4,20,95
Golden Bay,Oceania,July,2026,55,Low,1155,30,-46.7,25,96
Collingwood,Oceania,July,2026,50,Low,1160,25,-47.0,20,97
Karamea,Oceania,July,2026,55,Low,1165,20,-47.3,25,98
Westport,Oceania,July,2026,60,Medium,1170,35,-47.6,20,95
Greymouth,Oceania,July,2026,55,Low,1175,30,-47.9,25,96
Hokitika,Oceania,July,2026,50,Low,1180,25,-48.2,20,97
Fox Glacier,Oceania,July,2026,55,Low,1185,20,-48.5,25,98
Franz Josef,Oceania,August,2026,60,Medium,1190,35,-48.8,20,95
Haast,Oceania,August,2026,55,Low,1195,30,-49.1,25,96
Jackson Bay,Oceania,August,2026,50,Low,1200,25,-49.4,20,97
Wanaka,Oceania,August,2026,55,Low,1205,20,-49.7,25,98
Cromwell,Oceania,August,2026,60,Medium,1210,35,-50.0,20,95
Queenstown,Oceania,August,2026,55,Low,1215,30,-50.3,25,96
Arrowtown,Oceania,August,2026,50,Low,1220,25,-50.6,20,97
Glenorchy,Oceania,September,2026,55,Low,1225,20,-50.9,25,98
Kingston,Oceania,September,2026,60,Medium,1230,35,-51.2,20,95
Te Anau,Oceania,September,2026,55,Low,1235,30,-51.5,25,96
Milford Sound,Oceania,September,2026,50,Low,1240,25,-51.8,20,97
Manapouri,Oceania,September,2026,55,Low,1245,20,-52.1,25,98
Invercargill,Oceania,September,2026,60,Medium,1250,35,-52.4,20,95
Bluff,Oceania,September,2026,55,Low,1255,30,-52.7,25,96
Stewart Island,Oceania,September,2026,50,Low,1260,25,-53.0,20,97
Oban,Oceania,September,2026,55,Low,1265,20,-53.3,25,98
Southland,Oceania,October,2026,60,Medium,1270,35,-53.6,20,95
The Catlins,Oceania,October,2026,55,Low,1275,30,-53.9,25,96
Otago Peninsula,Oceania,October,2026,50,Low,1280,25,-54.2,20,97
Dunedin,Oceania,October,2026,55,Low,1285,20,-54.5,25,98
Moeraki,Oceania,October,2026,60,Medium,1290,35,-54.8,20,95
Oamaru,Oceania,October,2026,55,Low,1295,30,-55.1,25,96
Timaru,Oceania,October,2026,50,Low,1300,25,-55.4,20,97
Canterbury,Oceania,October,2026,55,Low,1305,20,-55.7,25,98
Arthur's Pass,Oceania,November,2026,60,Medium,1310,35,-56.0,20,95
Greymouth,Oceania,November,2026,55,Low,1315,30,-56.3,25,96
Hokitika,Oceania,November,2026,50,Low,1320,25,-56.6,20,97
Franz Josef,Oceania,November,2026,55,Low,1325,20,-56.9,25,98
Westport,Oceania,November,2026,60,Medium,1330,35,-57.2,20,95
Karamea,Oceania,November,2026,55,Low,1335,30,-57.5,25,96
Nelson,Oceania,November,2026,50,Low,1340,25,-57.8,20,97
Takaka,Oceania,November,2026,55,Low,1345,20,-58.1,25,98
Golden Bay,Oceania,December,2026,60,Medium,1350,35,-58.4,20,95
Collingwood,Oceania,December,2026,55,Low,1355,30,-58.7,25,96
Kaiapoi,Oceania,December,2026,50,Low,1360,25,-59.0,20,97
Rangiora,Oceania,December,2026,55,Low,1365,20,-59.3,25,98
Amberley,Oceania,December,2026,60,Medium,1370,35,-59.6,20,95
Hanmer Springs,Oceania,December,2026,55,Low,1375,30,-59.9,25,96
Kaikoura,Oceania,December,2026,50,Low,1380,25,-60.2,20,97
Blenheim,Oceania,December,2026,55,Low,1385,20,-60.5,25,98
Picton,Oceania,December,2026,60,Medium,1390,35,-60.8,20,95
Havelock,Oceania,December,2026,55,Low,1395,30,-61.1,25,96
Wairau Valley,Oceania,December,2026,50,Low,1400,25,-61.4,20,97
St Arnaud,Oceania,December,2026,55,Low,1405,20,-61.7,25,98
Murchison,Oceania,January,2027,60,Medium,1410,35,-62.0,20,95
Reefton,Oceania,January,2027,55,Low,1415,30,-62.3,25,96
Greymouth,Oceania,January,2027,50,Low,1420,25,-62.6,20,97
Hokitika,Oceania,January,2027,55,Low,1425,20,-62.9,25,98
Fox Glacier,Oceania,January,2027,60,Medium,1430,35,-63.2,20,95
Franz Josef,Oceania,January,2027,55,Low,1435,30,-63.5,25,96
Haast,Oceania,January,2027,50,Low,1440,25,-63.8,20,97
Jackson Bay,Oceania,January,2027,55,Low,1445,20,-64.1,25,98
Wanaka,Oceania,February,2027,60,Medium,1450,35,-64.4,20,95
Cromwell,Oceania,February,2027,55,Low,1455,30,-64.7,25,96
Queenstown,Oceania,February,2027,50,Low,1460,25,-65.0,20,97
Glenorchy,Oceania,February,2027,55,Low,1465,20,-65.3,25,98
Kingston,Oceania,February,2027,60,Medium,1470,35,-65.6,20,95
Te Anau,Oceania,February,2027,55,Low,1475,30,-65.9,25,96
Milford Sound,Oceania,February,2027,50,Low,1480,25,-66.2,20,97
Manapouri,Oceania,February,2027,55,Low,1485,20,-66.5,25,98
Invercargill,Oceania,February,2027,60,Medium,1490,35,-66.8,20,95
Bluff,Oceania,February,2027,55,Low,1495,30,-67.1,25,96
Stewart Island,Oceania,February,2027,50,Low,1500,25,-67.4,20,97
Oban,Oceania,February,2027,55,Low,1505,20,-67.7,25,98
Southland,Oceania,March,2027,60,Medium,1510,35,-68.0,20,95
The Catlins,Oceania,March,2027,55,Low,1515,30,-68.3,25,96
Otago Peninsula,Oceania,March,2027,50,Low,1520,25,-68.6,20,97
Dunedin,Oceania,March,2027,55,Low,1525,20,-68.9,25,98
Moeraki,Oceania,March,2027,60,Medium,1530,35,-69.2,20,95
Oamaru,Oceania,March,2027,55,Low,1535,30,-69.5,25,96
Timaru,Oceania,March,2027,50,Low,1540,25,-69.8,20,97
Geraldine,Oceania,March,2027,55,Low,1545,20,-70.1,25,98
Ashburton,Oceania,April,2027,60,Medium,1550,35,-70.4,20,95
Christchurch,Oceania,April,2027,55,Low,1555,30,-70.7,25,96
Kaiapoi,Oceania,April,2027,50,Low,1560,25,-71.0,20,97
Rangiora,Oceania,April,2027,55,Low,1565,20,-71.3,25,98
Amberley,Oceania,April,2027,60,Medium,1570,35,-71.6,20,95
Hanmer Springs,Oceania,April,2027,55,Low,1575,30,-71.9,25,96
Kaikoura,Oceania,April,2027,50,Low,1580,25,-72.2,20,97
Blenheim,Oceania,May,2027,55,Low,1585,20,-72.5,25,98
Picton,Oceania,May,2027,60,Medium,1590,35,-72.8,20,95
Havelock,Oceania,May,2027,55,Low,1595,30,-73.1,25,96
Wairau Valley,Oceania,May,2027,50,Low,1600,25,-73.4,20,97
St Arnaud,Oceania,May,2027,55,Low,1605,20,-73.7,25,98
Murchison,Oceania,May,2027,60,Medium,1610,35,-74.0,20,95
Reefton,Oceania,June,2027,55,Low,1615,30,-74.3,25,96
Greymouth,Oceania,June,2027,50,Low,1620,25,-74.6,20,97
Hokitika,Oceania,June,2027,55,Low,1625,20,-74.9,25,98
Fox Glacier,Oceania,June,2027,60,Medium,1630,35,-75.2,20,95
Franz Josef,Oceania,June,2027,55,Low,1635,30,-75.5,25,96
Haast,Oceania,June,2027,50,Low,1640,25,-75.8,20,97
Jackson Bay,Oceania,July,2027,55,Low,1645,20,-76.1,25,98
Wanaka,Oceania,July,2027,60,Medium,1650,35,-76.4,20,95
Cromwell,Oceania,July,2027,55,Low,1655,30,-76.7,25,96
Queenstown,Oceania,July,2027,50,Low,1660,25,-77.0,20,97
Glenorchy,Oceania,August,2027,55,Low,1665,20,-77.3,25,98
Kingston,Oceania,August,2027,60,Medium,1670,35,-77.6,20,95
Te Anau,Oceania,August,2027,55,Low,1675,30,-77.9,25,96
Milford Sound,Oceania,August,2027,50,Low,1680,25,-78.2,20,97
Manapouri,Oceania,August,2027,55,Low,1685,20,-78.5,25,98
Invercargill,Oceania,September,2027,60,Medium,1690,35,-78.8,20,95
Bluff,Oceania,September,2027,55,Low,1695,30,-79.1,25,96
Stewart Island,Oceania,September,2027,50,Low,1700,25,-79.4,20,97
Oban,Oceania,September,2027,55,Low,1705,20,-79.7,25,98
Southland,Oceania,October,2027,60,Medium,1710,35,-80.0,20,95
The Catlins,Oceania,October,2027,55,Low,1715,30,-80.3,25,96
Otago Peninsula,Oceania,October,2027,50,Low,1720,25,-80.6,20,97
Dunedin,Oceania,October,2027,55,Low,1725,20,-80.9,25,98
Moeraki,Oceania,October,2027,60,Medium,1730,35,-81.2,20,95
Oamaru,Oceania,October,2027,55,Low,1735,30,-81.5,25,96
